ssoc,title,description
21729,Other aircraft pilots and related associate professionals,This group includes aircraft pilots and related associate professionals not elsewhere classified.
22110,General practitioner/physician,"General practitioner/Physician diagnoses, treats and prevents illness, disease, injury, and other physical and mental impairments in humans through application of the principles and procedures of modern medicine. He/she does not limit his/her practice to certain disease categories or methods of treatment, and may assume responsibility for the provision of continuing and comprehensive medical care to, and the maintenance of general health of, individuals, families and communities. Medical graduates undergoing housemanship are also classified here."
22121,Cardiologist,"Cardiologist diagnoses, treats, manages, and prevents diseases or conditions of the cardiovascular system of a non-surgical nature. He/she may further subspecialise in interventional procedures (e.g. balloon angioplasty and stent placement), echocardiography, or electrophysiology."
22122,Dermatologist,"Dermatologist diagnoses and treats diseases relating to the skin, hair, and nails. He/she may perform both medical and dermatological surgery functions."
22123,Gastroenterologist,"Gastroenterologist investigates, diagnoses and treats diseases and disorders of the human liver, stomach and associated organs."
22124,Internal medicine physician,"Internal medicine physician diagnoses and provides nonsurgical treatment for a wide range of diseases and injuries of internal organ systems. He/she provides care mainly for adults and adolescents, and is based primarily in an outpatient care setting."
22125,Medical oncologist,"Medical oncologist manages and treats patients with cancer and tumours using chemotherapy or other medications, such as targeted therapy or immunotherapy."
22126,Paediatrician,"Paediatrician investigates, diagnoses and treats internal diseases and disorders of a non-surgical nature in children from birth up to, and including adolescence."
22127,Respiratory physician,"Respiratory physician investigates, diagnoses and treats diseases and disorders of the human respiratory system."
22128,Psychiatrist,"Psychiatrist diagnoses, treats, and helps prevent disorders of the mind."
22129,"Other specialist medical practitioners (medical) (e.g. endocrinologist, geriatrician, haematologist, infectious diseases physician, neurologist, nuclear medicine physician, rehabilitation physician, renal physician, rheumatologist)",This group includes specialist medical practitioners (medical) not elsewhere classified.
22131,General surgeon,"General surgeon performs various kinds of surgical operations in the treatment of injuries, diseases and disorders of the human body, and reviews reports of patients' physical condition and medical history. He/she examines patient to determine need for surgery, appropriate operational procedure and when operation should take place in addition to giving instructions regarding the preparation of patient and instruments and other equipment required."
22132,Cardiothoracic surgeon,"Cardiothoracic surgeon specialises in surgical procedures of the heart, lungs, oesophagus, and other organs in the chest."
22133,Hand surgeon,"Hand surgeon diagnoses and performs surgery to treat problems related to the different structures in the hand, wrist, and forearm."
22134,Neurosurgeon,"Neurosurgeon performs surgery to correct disorders of the brain, spine and nervous system."
22135,Orthopaedic surgeon,Orthopaedic surgeon diagnoses and performs surgery to treat and prevent rheumatic and other diseases in the musculoskeletal system.
22136,Paediatric surgeon,"Paediatric surgeon provides surgical care and treatment to children from birth up to, and including, adolescence."
22137,Plastic surgeon,Plastic surgeon performs surgery to repair and reconstruct muscle and tissue injuries and congenital deformities. He/she may perform cosmetic surgery that is unrelated to medical conditions.
22138,Urologist,"Urologist diagnoses, treats, and helps prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands."
22139,Other specialist medical practitioners (surgical),This group includes specialist medical practitioners (surgical) not elsewhere classified.
22141,Anaesthesiologist,"Anaesthesiologist administers anaesthesia to patients prior to, during, or after surgery or other medical procedures, while monitoring the patients' condition. He/she also diagnoses and treats acute, chronic and cancer pain."
22142,Diagnostic radiologist,"Diagnostic radiologist plans, prepares and performs diagnostic imaging examinations and post processing, with a wide range of equipment and techniques using X-rays, strong magnetic fields or Magnetic Resonance Imaging (MRI) and high frequency sound (Ultrasound). He/she examines patient anatomy, pathology, clinical history, previous and current medical images to interpret and diagnose health problems in patients."
22143,Emergency physician,"Emergency physician makes immediate medical decisions and acts to prevent death or further disability. He/she provides immediate recognition, evaluation, care, stabilisation, and disposition of patients. He/she may direct emergency medical staff in an emergency department."
22144,Obstetrician/Gynaecologist,"Obstetrician/Gynaecologist provides medical care related to pregnancy or childbirth and diagnosis, treats, and helps to prevent diseases of women, particularly those affecting the reproductive system. He/she may also provide general medical care to women."
22145,Ophthalmologist,"Ophthalmologist diagnoses, treats, and helps to prevent diseases and injuries of the eyes and related structures."
22146,Pathologist,"Pathologist diagnoses the presence and stages of diseases using laboratory techniques and patient specimens. He/she studies the nature, causes and development of diseases. He/she may perform autopsies."
22147,Public health physician,Public health physician improves the health of communities and reduces the incidence of illness and injury. He/she may set up inoculation clinics or create programs to control the spread of infectious disease. He/she may also help communities to respond to health threats related to bioterrorism or natural disasters.
22148,"Otorhinolaryngologist/Ear, nose, throat (ENT) specialist","Otorhinolaryngologist/Ear, nose, throat (ENT) specialist performs surgery to correct diseases and disorders of the ear, nose and throat (ENT), and related structures of the head and neck."
22150,"Other specialist medical practitioner (other specialisations) (e.g. occupational physician, radiation oncologist)",This group includes specialist medical practitioners (other specialisations) not elsewhere classified.
22200,"Registered nurse and other nursing professionals (e.g. clinical nurse, nurse educator, excluding enrolled nurse)","Registered nurse and other nursing professionals provides professional nursing care and advice in hospitals, clinics, private homes, schools, maternal, child health centres, nurseries or other establishments."
22301,Traditional Chinese medicine practitioner,"Traditional Chinese medicine practitioner conducts examinations, makes diagnosis and prescribes herbs or other medicines for treatment of various kinds of diseases and disorders of the human body. He/she advises patient on regimen necessary to preserve or restore health."
22302,Traditional Chinese medicine acupuncturist,"Traditional Chinese medicine acupuncturist diagnoses, treats, and prevents disorders by stimulating specific acupuncture points within the body using acupuncture needles. He/she may also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies."
22500,Veterinarian,"Veterinarian diagnoses, prevents and treats diseases, injuries and dysfunctions of animals. He/she inoculates animals against diseases and advises on care and breeding of animals. He/she may provide care to a wide range of animals or specialise in the treatment of a particular animal group or in a particular specialty area, or provide professional services to commercial firms producing biological and pharmaceutical products."
22611,General dental practitioner,"General dental practitioner performs diagnostic, preventive and curative services for dental and oral diseases and disorders. He/she examines teeth and oral cavity, using X-ray and other diagnostic tools as necessary, and prepares a plan of treatment. He/she may organise oral health services and advise on public dental health questions."
22612,Specialised dentist (e.g. orthodontist),"Specialised dentist specialises in giving surgical, medical and other forms of treatment for particular types of dental and oral diseases and disorders. He/she performs tasks similar to those of general dental practitioner but specialises in a particular branch of dentistry, such as prosthodontics, periodontics, orthodontics, pedodontics, endodontics, crown and bridge or oral surgery."
22621,Pharmacist (patient care),"Pharmacist (patient care) makes or dispenses medicaments and related preparations according to prescriptions or formulae. He/she also performs tests to determine identity, purity and strength of drugs and preserves pharmaceuticals against deterioration."
22629,Other pharmacists,This group includes pharmacists not elsewhere classified.
22631,Occupational health and safety professional,"Occupational health and safety professional assesses, plans and implements programmes to recognise, monitor and control factors that can potentially affect human health, and ensures that working conditions are safe and healthy. He/she also promotes ergonomic principles within the workplace such as matching furniture, equipment and work activities to the needs of employees in addition to providing education, information, training, and advice on aspects of occupational hygiene and environmental health."
22632,Environmental officer (public health),"Environmental officer (public health) assesses, plans and implements environmental health policies, prevention programmes and strategies for communicable diseases, food safety, waste water treatment and disposal systems, recreation and domestic water quality, contaminated and hazardous substances. He/she implements and enforces environmental health legislations and regulations."
22639,Other environmental and occupational health and hygiene professionals,This group includes environmental and occupational health and hygiene professionals not elsewhere classified.
22640,Physiotherapist,"Physiotherapist assesses, plans and implements rehabilitative programmes that improve or restore human motor functions, maximise movement ability, relieve pain syndromes, and treat or prevent physical challenges associated with injuries, diseases and other impairments. He/she applies a broad range of physical therapies and techniques such as movement, ultrasound, heating, laser and other techniques. He/she administers muscle, nerve, joint and functional ability tests to identify and assess physical problems of patients."
22651,Dietitian,"Dietitian plans and supervises the preparation of therapeutic or other diets for individuals or for groups in hospitals, institutions and other establishments. He/she gives instruction in selection and proper preparation of food according to dietetic principles and performs duties related to nutrition programmes."
22652,Nutritionist,"
Nutritionist appraises various factors related to nutrition and food problems. He/she studies the nutritional value of foodstuffs and dishes, and advises on the composition of different meals or dishes. He/she plans and executes nutrition elements of health programmes. He/she may investigate the state of nutrition in the community and serve as nutrition adviser to health programmes."
22661,Audiologist,"Audiologist assesses, diagnoses and treats patients with audiological and vestibular disorders caused by infectious, genetic, traumatic or degenerative conditions such as hearing loss, tinnitus, dizziness, imbalance, hyperacusis and auditory processing difficulties. He/she interprets audiometric test results alongside other medical, social and behavioural diagnostic data."
22662,Speech therapist,"Speech therapist focuses on the aetiology, assessment, diagnosis, treatment, and prevention of communication and swallowing disorders in people of all ages in order to help them maintain, promote, improve, initiate, or recover the ability to communicate both verbally and nonverbally. He/she addresses the development of language, speech, vocal and hearing functions, and disorders and disabilities in the cranial, facial, and oral area."
22670,Optometrist,"Optometrist provides diagnosis, management and treatment services for disorders of the eyes and visual system. He/she counsels on eye care and prescribes optical aids or other therapies for visual disturbance. He/she advises on visual health matters such as contact lens care, vision care for the elderly, optics, visual ergonomics and occupational and industrial eye safety."
22680,Occupational therapist,"Occupational therapist helps people of all ages to improve their ability to perform tasks in their daily living and working environments. He/she works with individuals who have conditions that are physically, developmentally, socially or emotionally disabling. He/she also helps them to develop, recover, or maintain daily living and work skills. He/she helps clients not only to improve their basic motor functions and reasoning abilities, but also to compensate for permanent loss of function."
22691,Chiropractor,"Chiropractor relieves illnesses believed due to pressure upon the nervous system at the spine by adjusting joints of the spine. He/she diagnoses disorders by making a structural analysis of body, using manipulative and laboratory or instrumental methods and corrects the position of displaced vertebrae by manipulation."
22692,Podiatrist,"Podiatrist studies foot physiology and pathology from a structural and functional standpoint. He/she assesses, diagnoses, and treats physical, sporting injuries, rehabilitation, medical and surgical problems of the foot and lower limb in clinical practice."
22693,Medical diagnostic radiographer,"Medical diagnostic radiographer plans, prepares and performs diagnostic imaging examinations and post processing, with a wide range of equipment and techniques using X-rays, strong magnetic fields or Magnetic Resonance Imaging (MRI) and high frequency sound (ultrasound)."
22694,Radiation therapist,"Radiation therapist provides radiation therapy to patients as prescribed by a radiation oncologist according to established practices and standards. He/she designs treatment plan and administers prescribed course of radiation treatment. He/she reviews prescription and diagnosis, acting as liaison with physician and supportive care personnel."
22699,Other health professionals n.e.c.,This group includes health professionals not elsewhere classified.
23101,University lecturer,"University lecturer prepares and delivers lectures while conducting tutorials, seminars and laboratory experiments in one or more subjects within a prescribed course of study at a university. He/she supervises and grades experimental, practical work and examinations undertaken by students in addition to conducting academic research and publishing his/her findings in his/her respective field."
23102,Polytechnic lecturer,"Polytechnic lecturer prepares and delivers lectures while conducting tutorials, seminars and laboratory experiments in one or more subjects within a prescribed course of study at a polytechnic. He/she supervises and grades experimental, practical work and examinations undertaken by students in addition to conducting academic research and publishing his/her findings in his/her respective field."
23103,Teaching assistant/Tutor in university,"Teaching assistant/Tutor in university is employed on a temporary contract at a university for teaching-related responsibilities. He/she assists the professor, lecturer or teacher of the specific course they are in charge of in the preparation of lectures and of exams, grading papers and exams and leading review and feedback sessions for the students."
23109,"Other university, polytechnic and higher education teachers",This group includes university and higher education teachers not elsewhere classified.
23200,Junior college and pre-university teacher (including integrated programme year 5-6 teacher),Junior college and pre-university teacher (including integrated programme year 5-6 teacher) teaches one or more subjects at the junior college or pre-university level.
23300,Technical/Vocational/Commercial education institute teacher and trainer,Technical/Vocational/Commercial education institute teacher and trainer teaches or instructs vocational or occupational subjects in adult and further education institutions and to senior students in secondary schools and colleges. He/she prepares students for employment in specific occupations or occupational areas for which university or higher education is not normally required.
23400,Secondary school teacher (including integrated programme year 1-4 teacher),Secondary school teacher (including integrated programme year 1-4 teacher) teaches one or more subjects at secondary school level.
23500,Primary school teacher,Primary school teacher teaches a range of subjects at the primary school level.
23611,Education methods adviser,"Education methods adviser studies curricula, teaching methods and other educational practices, and investigates the effectiveness of established educational practices. He/she advises and makes recommendations to education authorities concerning the introduction of improved methods, procedures and revisions in curricula in addition to organising and directing in-service training seminars or special readaptation courses for teachers."
23612,Instructional designer and technologist,"Instructional designer and technologist develops instructional materials and products and assists in the technology-based redesign of courses. He/she assists teaching professionals in learning about, becoming proficient in, and applying instructional technology."
23619,Other education methods specialists,This group includes education methods specialists not elsewhere classified.
23621,Teacher of the visually impaired,Teacher of the visually impaired specialises in teaching visually impaired students which includes reading and writing in braille. He/she designs or modifies curricula according to students' needs and abilities in addition to administering various forms of assessment to evaluate the progress of each student.
23622,Early intervention teacher for infants and children,"Early intervention teacher for infants and children teaches academic, social, and life skills to preschool-aged students with special learning, emotional, or physical needs."
23629,Other special education teachers,This group includes special education teachers not elsewhere classified.
23690,Other teaching professional n.e.c.,This group covers teaching professionals not elsewhere classified.
24111,Accountant (excluding tax accountant),"Accountant (excluding tax accountant) plans, organises and administers accounting systems for individuals and establishments. He/she examines and analyses the accounting and financial records of individuals and establishments to ensure accuracy and compliance with established accounting standards and procedures."
24112,Auditor (accounting),"Auditor (accounting) plans and conducts audit of accounts, book-keeping of records and financial statements of private persons, enterprises, institutions and governmental organisations. He/she inspects the recording of transactions in daybooks and journals and verifies the transfer of journal entries to ledgers; inspects and verifies negotiable securities and notes receivable and payable. He/she also recommends improvements in accounting procedures or other desirable action."
24113,Tax accountant,"Tax accountant prepares tax returns, advises on taxation problems and contests disputed claims before tax officials."
24121,Financial/Investment adviser (e.g. relationship manager),"Financial/Investment adviser develops financial plans for individuals and organisations, and invests and manages funds on their behalf."
24122,Business valuer,"Business valuer provides valuation assessements of business entities, stock and other securities and intangible assets, in order to assist his/her clients in strategic decision-making procedures such as mergers and acquisitions, litigation cases, bankruptcy, taxation compliance and general restructuring of the companies."
24131,"Financial analyst (e.g. equities analyst, credit analyst, investment research analyst)","Financial analyst conducts economic research and elicits valuable analyses on financial matters such as profitability, liquidity, solvency, and asset management. He/she also provides recommendations on financial matters for decision-making processes."
24132,Compliance officer/Risk analyst (financial),"Compliance officer/Risk analyst (financial) enforces or ensures compliance with laws and regulations governing financial and securities institutions as well as financial and real estate transactions. He/she may also examine, verify, or authenticate records."
24133,Fund/Portfolio manager (including asset allocator),"Fund/Portfolio manager plans, directs, or coordinates investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors. He/she recommends investments and investment timing to companies, investment firm staff, or the investing public. He/she also prepares plans of action for investment based on financial analyses."
24134,Treasury manager,"Treasury manager determines and oversees the financial strategic policies of a company or organisation. He/she uses cash management techniques like account organisation, cash flow monitoring, liquidity planning and control. He/she is also involved in risk management, including currency and commodity risks and maintains close connection with banks and rating agencies."
24135,Financial product structurer,"Financial product structurer conceptualises, designs and develops new financial products. He/she also determines the pricing of the financial products and monitors the performance of the new financial products."
24139,Other financial analysts and related professionals,This group includes financial analysts and related professionals not elsewhere classified.
24141,Securities and finance dealer,"Securities and finance dealer purchases and sells securities such as stocks, bonds and shares on his/her own account or employer's account. He/she monitors the performance of the securities traded, assessing their stability or speculative tendancies. He/she calculates the securities price and places orders."
24142,Foreign exchange dealer,"Foreign exchange dealer buys and sells foreign currencies on his/her own account or employer's account, in order to secure a profit on fluctuations in foreign exchange rates. He/she executes trading activities as per trading plans, monitors portfolio positions and market conditions. He/she undertakes technical analysis of economic information (market liquidity and volatility) to predict the future rates of currencies on the foreign exchange market."
24143,Financial derivatives dealer,"Financial derivatives dealer buys and sells financial derivatives on his/her own account or employer's account. He/she executes trading activities as per trading plans, monitors portfolio positions and market conditions."
24149,Other finance dealers,This group includes finance dealers not elsewhere classified.
24151,Securities and finance broker,"Securities and finance broker buys and sells securities, stocks, bonds and other financial instruments on behalf of his/her clients on a commission basis. He/she executes trading activities as per cilents' instructions. He/she also recommends transactions to clients."
24152,Foreign exchange broker,"Foreign exchange broker buys and sells foreign currencies on behalf of his/her clients on a commission basis. He/she executes trading activities as per cilents' instructions. He/she also undertakes technical analysis of economic information, such as market liquidity and volatility, to predict the future rates of currencies on the foreign exchange market."
24153,Financial derivatives broker,Financial derivatives broker buys and sells financial derivatives on behalf of his/her clients on a commission basis. He/she executes trading activities as per cilents' instructions.
24154,Commodities and freight derivatives broker,Commodities and freight derivatives broker buys and sells commodities and freight derivatives on behalf of his/her clients on a commission basis. He/she executes trading activities as per cilents' instructions.
24159,Other finance brokers,This group includes finance brokers not elsewhere classified.
24160,Insurance underwriter,"Insurance underwriter identifies and measures the risks associated with an activity, determines whether this risk is insurable and what the terms of that acceptance are. He/she assesses a risk according to the likelihood of a claim being made by weighing up a number of factors and asking for detailed information from prospective clients (policyholders)."
24211,Management consultant,"Management consultant conducts organisational studies and evaluations, designs systems and procedures, conducts work simplification and measurement studies, and prepares operations and procedures manuals to assist management in operating more efficiently and effectively."
24212,Business consultant,"Business consultant analyses the position, structure and processes of businesses and companies and offers services or advice to improve them. He/she researches and identifies business processes such as financial inefficiencies or employee management and devises strategical plans to overcome these difficulties."
24213,Business and financial project management professional,"Business and financial project management professional manages, oversees and implements business and financial projects. He/she ensures that customers' needs are met and that the project implementation plan is progressing in a timely and satisfactory manner, and prepares projects status reports for management."
24220,Policy administration professional (e.g. policy analyst),"Policy administration professional develops and analyses policies guiding the design, implementation and modification of government and commercial operations and programmes."
24231,Human resource consultant (excluding executive search consultant),"Human resource consultant (excluding executive search consultant) provides consultancy services on personnel functions relating to employee recruitment, placement, training, promotion, compensation, and employee-management relations or other areas of personnel policy. He/she studies and analyses jobs performed in an establishment by various means, including interviews with workers, supervisors and management, and writing detailed position, job or occupation descriptions from information obtained."
24232,Executive search consultant,"Executive search consultant provides suitable candidates to employers according to the specific job profiles requested. He/she conducts tests and interviews with job seekers, shortlists potential candidates for employers and matches these candidates to appropriate jobs. He/she also maintains relationships with employers to offer his/her services on a more long-term basis."
24233,Personnel/Human resource officer,"Personnel/Human resource officer develops and implements strategies that help their employers select and retain appropriately qualified staff within that business sector. He/she recruits staff, prepares job advertisements, interviews and short-lists people, negotiates with employment agencies, and sets up working conditions. He/she also administers the payroll, reviews salaries and advises on remuneration benefits and employment law. He/she may arrange for training opportunities to enhance employees' performance."
24234,Industrial relations officer,Industrial relations officer works with union leaders and members and company's human resource team and management to maintain and improve the welfare of workers. He/she resolves workplace disputes and assists in negotiating collective agreements with unions and management for the workers. He/she also plans and organises membership and social activities. He/she represents workers who do not have the ability to defend their rights as employees.
24240,Training and staff development professional,"Training and staff development professional plans, develops, implements and evaluates training and development programs to ensure management and staff acquire the skills and develop the competencies required by organisations to meet organisational objectives. He/she prepares and develops instructional training material and aids such as handbooks, visual aids, online tutorials, demonstration models, and training reference documentation. He/she may analyse organisational training needs or evaluate training effectiveness."
24251,Intellectual property agent,"Intellectual property agent provides professional advice on the registrability of intellectual property (IP) and the drafting of specifications for submission of an IP application before the IP Office, as well as assistance in the registration and renewal of IP. He/she also acts principally for his/her clients in the prosecution of infringements and provides advice on the protection and commercialisation of IP."
24252,Intellectual property examiner,Intellectual property examiner assesses and determines the granting of patent and trade marks. He/she reviews patent applications and examines inventions from a technical standpoint and ensures that the invention is novel. He/she reviews and processes trade mark applications under the Trade marks and Madrid Protocol.
24291,Research officer (non-statistical),"Research officer (non-statistical) manages research projects that aim to investigate and provide reports on business issues. He/she performs research by gathering information through interviews, focus groups and questionnaires. He/she also organises and analyses the gathered information using computer software programs, and explores solutions to address problems and needs."
24299,Other administration professionals n.e.c.,This group includes administration professionals not elsewhere classified.
24311,Creative advertising professional,Creative advertising professional oversees the creation process of advertisements and commercials. He/she provides advice to companies and organisations about the development of their advertising strategies and on advertising-related topics covering a more general strategic approach.
24312,Market research professional,"Market research professional collects product information gathered in market research, in terms of prices and competition, and study it to draw conclusions. He/she identifies the potential customers of a product, the target group and the way they can be reached. He/she also analyses cross selling and interdependencies between different products and their placement, and prepares information helpful for the development of marketing strategies."
24313,Marketing strategy/planning professional,"Marketing strategy/planning professional manages, plans and develops strategy based on information collected from market research. He/she advises managers and clients on strategies and campaigns to reach target markets, create consumer awareness and hence effectively promote the attributes of goods and services."
24314,"Digital marketing professional (e.g. online, social media, e-commerce marketing professional)","Digital marketing professional leads and monitors the execution of all digital activities, manages the online review sites and responds accordingly. He/she creates and manages online and digital platforms, measures and reports the performance of all digital marketing activities against goals, as well as provides monthly reports on these trends. He/she directs and supports the needs of the markets to ensure the maximisation of all marketing channels."
24315,Revenue specialist,"Revenue specialist maximises revenue generation for company by analysing trends and competition. He/she analyses reports, market segment performance and demand and tracks inventory for the optimal mix of business. He/she optimises the financial potential of the company and assists management in strategic decisions. He/she also conducts sales strategy analysis and refinements to increase market share or revenue."
24320,Public relations/Corporate communications professional,"Public relations/Corporate communications professional plans, develops and evaluates information and communication strategies for clients that create an understanding and a favourable view of businesses and other organisations, their goods and services, and their role in the community. He/she organises publicity campaigns, special events, seminars, competitions and social functions to promote goodwill and favourable public opinion. He/she also writes, edits and arranges for the effective distribution of press releases, newsletters and other public relations material, and addresses individuals, clients and other target groups to enhance the public image of an organisation."
24331,Technical sales professional,"Technical sales professional promotes and sells products and services, such as chemical, mechanical, electrical and electronic supplies, using specialised knowledge of the technology of the composition, utilisation and maintenance of the goods or equipment sold. He/she calls on architects, engineers and other potential users to explain the merits of the firm's product and its application to the user's special requirements."
24332,Medical and pharmaceutical products sales professional,"Medical and pharmaceutical products sales professional promotes and sells medical devices, equipment and pharmaceutical products to healthcare professionals. He/she provides product information and demonstrates features of products to healthcare professionals."
24333,ICT sales and services professional,"ICT sales and services professional promotes and sells hardware, software, telecommunications or ICT services. He/she provides product information and demonstrates features of the ICT products to clients. He/she identifies opportunities for sales by sourcing for customers and manages the delivery of products to customers."
24334,Sales professionals (institutional sales of financial products),Sales professional (institutional sales of financial products) specialises in the institutional sale of banking and financial products. He/she studies the market and modifies the existing products or creates new products to suit clients needs. He/she also monitors and evaluates the performance indicators of these products and suggests improvements.
24339,Other specialised goods sales professionals,This group includes specialised goods sales professionals not elsewhere classified.
24351,Commodities trader (excluding oil and bunker),"Commodities trader (excluding oil and bunker) buys and sells commodities other than oil and bunker, on his/her own account or employer's account. He/she sources, schedules, moves and optimises commodities through supply chains and distribution systems. He/she plans and executes purchase timings and delivery modes, while balancing organisational's operational requirements and market movements."
24352,Oil and bunker trader,"Oil and bunker trader buys and sells oil and bunker, on his/her own account or employer's account. He/she sources, schedules, moves and optimises oil and bunker through supply chains and distribution systems. He/she plans and executes purchase timings and delivery modes, while balancing organisational's operational requirements and market movements."
24353,Ship charterer,"Ship charterer supports the organisation's chartering operations and arranges the chartering of ships to deliver cargoes. He/she supports client account management, addresses issues arising in the pre- and post-fixture process and gathers data for potential business opportunities."
24361,Trade broker,"Trade broker buys and sells commodities on behalf of his/her clients on a commission basis. He/she establishes contact between buyers and sellers of commodities, discusses the buying or selling requirements of clients and gives advice accordingly, negotiates the purchase or sale of commodities and commodity futures and monitors and analyses market trends and other factors affecting the supply and demand for commodities and shipping services."
24362,Ship broker (e.g. charter or sales & purchase),"Ship broker acts as an intermediary between buyers and sellers of ships, cargo space on ships and chartering of ships. He/she informs clients on the shipping market mechanisms and movements, reports on vessel and cargo space prices and sales and negotiates the cost of the vessels, cargo space and chartering on behalf of the buyers and sellers. He/she also advises on the logistical requirements for the transfer of the vessel or commodity cargo from sellers to buyers."
25111,Systems designer/analyst,"Systems designer/analyst assists with modifying, enhancing or adapting existing or proposed systems within an organisation. He/she examines and documents technical requirements for new solutions to be created and analyses user needs. He/she designs new IT solutions, produces outline designs and estimates costs of new systems as well as participates in the integration of new features or improvements."
25112,ICT business process consultant/business analyst,"ICT business process consultant/business analyst analyses and designs an organisation's processes and systems and assesses the business model and its integration with technology. He/she identifies the changes needed for the ICT systems, assesses the impact of the change, captures and documents the requirements and then ensures that these requirements are delivered whilst supporting the business through the implementation process. He/she acts as a liaison between users and technical staff to address IT systems' questions and issues."
25113,Enterprise/Solution architect,"Enterprise/Solution architect plans, designs and develops information technology technical systems solutions based on business needs. He/she identifies architecture and systems integration problems, future technological goals and provides expert advice on solutions. He/she develops information management standards and practices."
25121,Software developer,"Software developer researches, designs and develops computer and network software or specialised utility programs. He/she analyses user needs and develops software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. He/she also updates software, enhances existing software capabilities, and develops and directs software testing and validation procedures. He/she may work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements."
25122,Web and mobile applications developer,"Web and mobile applications developer researches, analyses and evaluates requirements for existing or new web and mobile applications. He/she designs, develops, tests and maintains web and mobile solutions to meet the requirements. He/she also evaluates programming codes to ensure that they are properly structured, meet industry standards and are compatible with browsers and devices. He/she may also develop website infrastructure and integrate websites with other computer applications."
25123,Multimedia (including games) developer,"Multimedia (including games) developer designs and develops digital animations, imaging, presentations, games, audio and video clips using multimedia software, tools and utilities, interactive graphics and programming languages. He/she conducts research on new techniques and technologies to achieve the intended multimedia effects and creative plan."
25140,Applications/Systems programmer,Application/Systems programmer writes and maintains programmable code outlined in technical instructions and specifications for software applications and operating systems.
25151,ICT quality assurance specialist,"ICT quality assurance specialist develops and documents ICT hardware and software testing plans, installs software and hardware and configures operating system software in preparation for testing, and verifies that programmes function according to user requirements and established guidelines. He/she also executes, analyses and documents results of software application tests and information and telecommunication systems tests, and develops and implements software and information system testing policies, procedures and scripts."
25152,ICT auditor,"ICT auditor performs audits of information systems, platforms, and operating procedures in accordance with established standards for efficiency, accuracy and security. He/she evaluates ICT infrastructure in terms of risks to the organisation and establishes controls to mitigate loss. He/she determines and recommends improvements in the current risk management controls and implementation of system changes or upgrades."
25190,Software and applications developer and analyst n.e.c.,This group covers software and applications developers and analysts not elsewhere classified.
25211,Database administrator,"Database administrator manages, maintains and implements computer databases. He/she coordinates changes to computer databases and identifies, investigates, and resolves database performance issues, database capacity, and database scalability. He/she may plan, coordinate, and implement security measures to safeguard computer databases."
25212,Database architect,"Database architect plans and designs enterprise databases, data warehouse systems and multidimensional networks. He/she sets standards for database operations, programming, query processes, and security. He/she creates and optimises data models for warehouse infrastructure and workflow and 
integrates new systems with existing warehouse structure."
25220,"Network, servers and computer systems administrator","Network, servers and computer systems administrator develops, controls, maintains and supports the optimal performance and security of information technology systems."
25231,Cloud specialist,"Cloud specialist deploys and configures solutions in the cloud. He/she automates cloud operations, develops infrastructure automation scripts and participates in the continuous improvement of cloud solutions. He/she participates in the specification, setup and runs Proof of Concepts (PoC) and demonstrations of cloud solutions. He/she may administer and maintain servers across virtual platforms."
25232,IT infrastructure specialist,"IT infrastructure specialist monitors and maintains computer network, infrastructure and platform operations. He/she supports the design, testing and implementation of routine installations of hardware including computers, network components and multifunctional devices and maintains infrastructure system analysis and reporting tools. He/she resolves complex issues and conducts fault analysis."
25239,"Other computer network, infrastructure and platform professionals","This group covers computer network, infrastructure and platform professionals not elsewhere classified."
25241,Cyber risk specialist,"Cyber risk specialist conducts cyber risk assessment in support of technology initiatives to help identify IT related risk and determines appropriate controls to mitigate risks. He/she monitors, tracks and manages risk mitigations and exceptions and ensures adequate monitoring capability is incorporated into solutions."
25242,Penetration testing specialist,"Penetration testing specialist designs and performs tests and checks cases to determine if infrastructure components, systems and applications meet confidentiality, integrity, authentication, availability, authorisation and non-repudiation standards. He/she translates requirements into test plan, writes and executes test scripts or codes in line with standards and procedures to determine vulnerability to attacks. He/she certifies infrastructure components, systems and applications that meet security standards."
25243,Security operations specialist,"Security operations specialist performs real-time analysis and trending of security log data from various security devices and systems. He/she maintains data sources feeding the log monitoring system, develops and maintains detection and alerting rules. He/she responds to user incident reports and evaluates the type and severity of security events. He/she executes initial triage of incidents to rule out false positives. He/she identifies recurring security issues and risks and develops mitigation plans and recommends process improvements. He/she interprets and applies security policies and procedures. He/she establishes escalation processes for security incidents and develops contingency plans and disaster recovery procedures."
